,marca_x,modelo_x,marca_y_modelo_km77,match,marca_y,modelo_y,marca_y_modelo_dgt
548,VOLVO,S90,VOLVO S90,VOLVO S90,VOLVO,S90,VOLVO S90
549,TOYOTA,RAV4 PLUG IN HYBRID,TOYOTA RAV4 PLUG IN HYBRID,TOYOTA RAV4,TOYOTA,RAV4,TOYOTA RAV4
550,TOYOTA,RAV4,TOYOTA RAV4,TOYOTA RAV4,TOYOTA,RAV4,TOYOTA RAV4
551,VOLVO,V90,VOLVO V90,VOLVO V90,VOLVO,V90,VOLVO V90
552,HYUNDAI,I30 N,HYUNDAI I30 N,HYUNDAI I30 N,HYUNDAI,I30 N,HYUNDAI I30 N
553,SUBARU,XV,SUBARU XV,SUBARU XV,SUBARU,XV,SUBARU XV
554,HYUNDAI,I20 N,HYUNDAI I20 N,HYUNDAI I20 N,HYUNDAI,I20 N,HYUNDAI I20 N
555,JAGUAR,XE,JAGUAR XE,JAGUAR XE,JAGUAR,XE,JAGUAR XE
556,SUBARU,OUTBACK,SUBARU OUTBACK,SUBARU OUTBACK,SUBARU,OUTBACK,SUBARU OUTBACK
557,JEEP,RENEGADE 4XE,JEEP RENEGADE 4XE,JEEP RENEGADE,JEEP,RENEGADE,JEEP RENEGADE
558,JEEP,RENEGADE,JEEP RENEGADE,JEEP RENEGADE,JEEP,RENEGADE,JEEP RENEGADE
559,JAGUAR,XF,JAGUAR XF,JAGUAR XF,JAGUAR,XF,JAGUAR XF
560,JAGUAR,XF XFR S,JAGUAR XF XFR S,JAGUAR XF,JAGUAR,XF,JAGUAR XF
561,JAGUAR,XF XFR,JAGUAR XF XFR,JAGUAR XF,JAGUAR,XF,JAGUAR XF
562,NISSAN,PRIMERA,NISSAN PRIMERA,NISSAN PRIMERA,NISSAN,PRIMERA,NISSAN PRIMERA
563,VOLKSWAGEN,GOLF GTE,VOLKSWAGEN GOLF GTE,VOLKSWAGEN GOLF GTE,VOLKSWAGEN,GOLF GTE,VOLKSWAGEN GOLF GTE
